Fat,Carbs,Protein,Fiber,PPlus
12,12,12,16,4
12,12,16,16,5
12,12,20,16,5
12,12,4,20,3
12,12,8,20,4
12,12,12,20,4
12,12,16,20,4
12,12,20,20,5
12,16,4,4,5
12,16,8,4,5
12,16,12,4,6
12,16,16,4,6
12,16,20,4,6
12,16,4,8,5
12,16,8,8,5
12,16,12,8,5
12,16,16,8,6
12,16,20,8,6
12,16,4,12,4
12,16,8,12,5
12,16,12,12,5
12,16,16,12,5
12,16,20,12,6
12,16,4,16,4
12,16,8,16,4
12,16,12,16,5
12,16,16,16,5
12,16,20,16,5
12,16,4,20,4
12,16,8,20,4
12,16,12,20,4
12,16,16,20,5
12,16,20,20,5
12,20,4,4,5
12,20,8,4,6
12,20,12,4,6
12,20,16,4,6
12,20,20,4,7
12,20,4,8,5
12,20,8,8,5
12,20,12,8,6
12,20,16,8,6
12,20,20,8,6
12,20,4,12,5
12,20,8,12,5
12,20,12,12,5
12,20,16,12,6
12,20,20,12,6
12,20,4,16,4
12,20,8,16,5
12,20,12,16,5
12,20,16,16,5
12,20,20,16,6
12,20,4,20,4
12,20,8,20,4
12,20,12,20,5
12,20,16,20,5
12,20,20,20,5
16,4,4,4,5
16,4,8,4,5
16,4,12,4,5
16,4,16,4,6
16,4,20,4,6
16,4,4,8,4
16,4,8,8,5
16,4,12,8,5
16,4,16,8,5
16,4,20,8,6
16,4,4,12,4
16,4,8,12,4
16,4,12,12,5
16,4,16,12,5
16,4,20,12,5
16,4,4,16,4
16,4,8,16,4
16,4,12,16,4
16,4,16,16,5
16,4,20,16,5
16,4,4,20,3
16,4,8,20,4
16,4,12,20,4
16,4,16,20,4
16,4,20,20,5
16,8,4,4,5
16,8,8,4,5
16,8,12,4,6
16,8,16,4,6
16,8,20,4,6
16,8,4,8,5
16,8,8,8,5
16,8,12,8,5
16,8,16,8,6
16,8,20,8,6
16,8,4,12,4
16,8,8,12,5
16,8,12,12,5
16,8,16,12,5
16,8,20,12,6
16,8,4,16,4
16,8,8,16,4
16,8,12,16,5
16,8,16,16,5
16,8,20,16,6
16,8,4,20,4
16,8,8,20,4
16,8,12,20,4
16,8,16,20,5
16,8,20,20,5
16,12,4,4,5
16,12,8,4,6
16,12,12,4,6
16,12,16,4,7
16,12,20,4,7
16,12,4,8,5
16,12,8,8,6
16,12,12,8,6
16,12,16,8,6
16,12,20,8,7
16,12,4,12,5
16,12,8,12,5
16,12,12,12,6
16,12,16,12,6
16,12,20,12,6
16,12,4,16,5
16,12,8,16,5
16,12,12,16,5
16,12,16,16,6
16,12,20,16,6
16,12,4,20,4
16,12,8,20,5
16,12,12,20,5
16,12,16,20,5
16,12,20,20,6
16,16,4,4,6
16,16,8,4,6
16,16,12,4,7
16,16,16,4,7
16,16,20,4,7
16,16,4,8,6
16,16,8,8,6
16,16,12,8,6
16,16,16,8,7
16,16,20,8,7
16,16,4,12,5
16,16,8,12,6
16,16,12,12,6
16,16,16,12,6
16,16,20,12,7
16,16,4,16,5
16,16,8,16,5
16,16,12,16,6
16,16,16,16,6
16,16,20,16,6
16,16,4,20,5
16,16,8,20,5
16,16,12,20,5
16,16,16,20,6
16,16,20,20,6
16,20,4,4,6
16,20,8,4,7
16,20,12,4,7
16,20,16,4,7
16,20,20,4,8
16,20,4,8,6
16,20,8,8,6
16,20,12,8,7
16,20,16,8,7
16,20,20,8,7
16,20,4,12,6
16,20,8,12,6
16,20,12,12,6
16,20,16,12,7
16,20,20,12,7
16,20,4,16,5
16,20,8,16,6
16,20,12,16,6
16,20,16,16,6
16,20,20,16,7
16,20,4,20,5
16,20,8,20,5
16,20,12,20,6
16,20,16,20,6
16,20,20,20,7
20,4,4,4,6
20,4,8,4,6
20,4,12,4,6
20,4,16,4,7
20,4,20,4,7
20,4,4,8,5
20,4,8,8,6
20,4,12,8,6
20,4,16,8,6
20,4,20,8,7
20,4,4,12,5
20,4,8,12,5
20,4,12,12,6
20,4,16,12,6
20,4,20,12,6
20,4,4,16,5
20,4,8,16,5
20,4,12,16,5
20,4,16,16,6
20,4,20,16,6
20,4,4,20,4
20,4,8,20,5
20,4,12,20,5
20,4,16,20,5
20,4,20,20,6
20,8,4,4,6
20,8,8,4,6
20,8,12,4,7
20,8,16,4,7
20,8,20,4,8
20,8,4,8,6
20,8,8,8,6
20,8,12,8,6
20,8,16,8,7
20,8,20,8,7
20,8,4,12,5
20,8,8,12,6
20,8,12,12,6
20,8,16,12,7
20,8,20,12,7
20,8,4,16,5
20,8,8,16,5
20,8,12,16,6
20,8,16,16,6
20,8,20,16,7
20,8,4,20,5
20,8,8,20,5
20,8,12,20,6
20,8,16,20,6
20,8,20,20,6
20,12,4,4,6
20,12,8,4,7
20,12,12,4,7
20,12,16,4,8
20,12,20,4,8
20,12,4,8,6
20,12,8,8,7
20,12,12,8,7
20,12,16,8,7
20,12,20,8,8
20,12,4,12,6
20,12,8,12,6
20,12,12,12,7
20,12,16,12,7
20,12,20,12,7
20,12,4,16,6
20,12,8,16,6
20,12,12,16,6
20,12,16,16,7
20,12,20,16,7
20,12,4,20,5
20,12,8,20,6
20,12,12,20,6
20,12,16,20,6
20,12,20,20,7
20,16,4,4,7
20,16,8,4,7
20,16,12,4,8
20,16,16,4,8
20,16,20,4,8
20,16,4,8,7
20,16,8,8,7
20,16,12,8,7
20,16,16,8,8
20,16,20,8,8
20,16,4,12,6
20,16,8,12,7
20,16,12,12,7
20,16,16,12,7
20,16,20,12,8
20,16,4,16,6
20,16,8,16,6
20,16,12,16,7
20,16,16,16,7
20,16,20,16,7
20,16,4,20,6
20,16,8,20,6
20,16,12,20,6
20,16,16,20,7
20,16,20,20,7
20,20,4,4,7
20,20,8,4,8
20,20,12,4,8
20,20,16,4,8
20,20,20,4,9
20,20,4,8,7
20,20,8,8,7
20,20,12,8,8
20,20,16,8,8
20,20,20,8,9
20,20,4,12,7
20,20,8,12,7
20,20,12,12,7
20,20,16,12,8
20,20,20,12,8
20,20,4,16,6
20,20,8,16,7
20,20,12,16,7
20,20,16,16,7
20,20,20,16,8
20,20,4,20,6
20,20,8,20,6
20,20,12,20,7
20,20,16,20,7
20,20,20,20,8
